Filename,Type,Sort,Age,Sample,SampleID,Condition,Days
MZ_B8_12M Q175 3B_Goldman120114_12202014_(Mouse430_2).CEL,Q175,CD11b,12mo,32,Q175_CD11b_12mo_32,HD,365
MZ_B11_12M Q175 4B_Goldman120114_12202014_(Mouse430_2).CEL,Q175,CD11b,12mo,33,Q175_CD11b_12mo_33,HD,365
MZ_A2_12M WT 1B_Goldman120114_12202014_(Mouse430_2).CEL,WT,CD11b,12mo,34,WT_CD11b_12mo_34,CTR,365
MZ_A5_12M WT 2B_Goldman120114_12202014_(Mouse430_2).CEL,WT,CD11b,12mo,35,WT_CD11b_12mo_35,CTR,365
MZ_A8_12M WT 3B_Goldman120114_12202014_(Mouse430_2).CEL,WT,CD11b,12mo,36,WT_CD11b_12mo_36,CTR,365
MZ_A11_12M WT 4B_Goldman120114_12202014_(Mouse430_2).CEL,WT,CD11b,12mo,37,WT_CD11b_12mo_37,CTR,365
MZ_B1_12M Q175 1A_Goldman120114_12202014_(Mouse430_2).CEL,Q175,Glt1,12mo,30,Q175_Glt1_12mo_30,HD,365
MZ_B4_12M Q175 2A_Goldman120114_12202014_(Mouse430_2).CEL,Q175,Glt1,12mo,31,Q175_Glt1_12mo_31,HD,365
MZ_B7_12M Q175 3A_Goldman120114_12202014_(Mouse430_2).CEL,Q175,Glt1,12mo,32,Q175_Glt1_12mo_32,HD,365
MZ_B10_12M Q175 4A_Goldman120114_12202014_(Mouse430_2).CEL,Q175,Glt1,12mo,33,Q175_Glt1_12mo_33,HD,365
MZ_A1_12M WT 1A_Goldman120114_12202014_(Mouse430_2).CEL,WT,Glt1,12mo,34,WT_Glt1_12mo_34,CTR,365
MZ_A4_12M WT 2A_Goldman120114_12202014_(Mouse430_2).CEL,WT,Glt1,12mo,35,WT_Glt1_12mo_35,CTR,365
MZ_A7_12M WT 3A_Goldman120114_12202014_(Mouse430_2).CEL,WT,Glt1,12mo,36,WT_Glt1_12mo_36,CTR,365
MZ_A10_12M WT 4A_Goldman120114_12202014_(Mouse430_2).CEL,WT,Glt1,12mo,37,WT_Glt1_12mo_37,CTR,365
