Sample Name,Target Name,deltaCT,Gene
R6-3a,Abca1-Mm00442646_m1,6.9975,Abca1
R6-3a,Abca1-Mm00442646_m1,,Abca1
R6-4a,Abca1-Mm00442646_m1,5.6145,Abca1
R6-4a,Abca1-Mm00442646_m1,,Abca1
R6-5a,Abca1-Mm00442646_m1,4.6915,Abca1
R6-5a,Abca1-Mm00442646_m1,,Abca1
R6-6a,Abca1-Mm00442646_m1,7.473,Abca1
R6-6a,Abca1-Mm00442646_m1,,Abca1
WT-2a,Abca1-Mm00442646_m1,8.268,Abca1
WT-2a,Abca1-Mm00442646_m1,,Abca1
WT-3a,Abca1-Mm00442646_m1,9.843,Abca1
WT-3a,Abca1-Mm00442646_m1,,Abca1
WT-4a,Abca1-Mm00442646_m1,8.297,Abca1
WT-4a,Abca1-Mm00442646_m1,,Abca1
WT-5a,Abca1-Mm00442646_m1,9.2745,Abca1
WT-5a,Abca1-Mm00442646_m1,,Abca1
R6-3a,Abca2-Mm00431553_m1,8.636,Abca2
R6-3a,Abca2-Mm00431553_m1,,Abca2
R6-4a,Abca2-Mm00431553_m1,8.6425,Abca2
R6-4a,Abca2-Mm00431553_m1,,Abca2
R6-5a,Abca2-Mm00431553_m1,14.985,Abca2
R6-5a,Abca2-Mm00431553_m1,,Abca2
R6-6a,Abca2-Mm00431553_m1,9.6135,Abca2
R6-6a,Abca2-Mm00431553_m1,,Abca2
WT-2a,Abca2-Mm00431553_m1,9.3775,Abca2
WT-2a,Abca2-Mm00431553_m1,,Abca2
WT-3a,Abca2-Mm00431553_m1,10.4845,Abca2
WT-3a,Abca2-Mm00431553_m1,,Abca2
WT-4a,Abca2-Mm00431553_m1,8.917,Abca2
WT-4a,Abca2-Mm00431553_m1,,Abca2
WT-5a,Abca2-Mm00431553_m1,9.411,Abca2
WT-5a,Abca2-Mm00431553_m1,,Abca2
R6-3a,Abcg1-Mm00437390_m1,4.7785,Abcg1
R6-3a,Abcg1-Mm00437390_m1,,Abcg1
R6-4a,Abcg1-Mm00437390_m1,3.7095,Abcg1
R6-4a,Abcg1-Mm00437390_m1,,Abcg1
R6-5a,Abcg1-Mm00437390_m1,6.9775,Abcg1
R6-5a,Abcg1-Mm00437390_m1,,Abcg1
R6-6a,Abcg1-Mm00437390_m1,5.7025,Abcg1
R6-6a,Abcg1-Mm00437390_m1,,Abcg1
WT-2a,Abcg1-Mm00437390_m1,7.037,Abcg1
WT-2a,Abcg1-Mm00437390_m1,,Abcg1
WT-3a,Abcg1-Mm00437390_m1,7.567,Abcg1
WT-3a,Abcg1-Mm00437390_m1,,Abcg1
WT-4a,Abcg1-Mm00437390_m1,6.366,Abcg1
WT-4a,Abcg1-Mm00437390_m1,,Abcg1
WT-5a,Abcg1-Mm00437390_m1,6.2305,Abcg1
WT-5a,Abcg1-Mm00437390_m1,,Abcg1
R6-3a,Acaa2-Mm00624282_m1,3.145,Acaa2
R6-3a,Acaa2-Mm00624282_m1,,Acaa2
R6-4a,Acaa2-Mm00624282_m1,2.9345,Acaa2
R6-4a,Acaa2-Mm00624282_m1,,Acaa2
R6-5a,Acaa2-Mm00624282_m1,3.4085,Acaa2
R6-5a,Acaa2-Mm00624282_m1,,Acaa2
R6-6a,Acaa2-Mm00624282_m1,4.218,Acaa2
R6-6a,Acaa2-Mm00624282_m1,,Acaa2
WT-2a,Acaa2-Mm00624282_m1,3.911,Acaa2
WT-2a,Acaa2-Mm00624282_m1,,Acaa2
WT-3a,Acaa2-Mm00624282_m1,4.692,Acaa2
WT-3a,Acaa2-Mm00624282_m1,,Acaa2
WT-4a,Acaa2-Mm00624282_m1,4.0505,Acaa2
WT-4a,Acaa2-Mm00624282_m1,,Acaa2
WT-5a,Acaa2-Mm00624282_m1,4.253,Acaa2
WT-5a,Acaa2-Mm00624282_m1,,Acaa2
R6-3a,Actb-Mm00607939_s1,-0.073,Actb
R6-3a,Actb-Mm00607939_s1,,Actb
R6-4a,Actb-Mm00607939_s1,-1.2125,Actb
R6-4a,Actb-Mm00607939_s1,,Actb
R6-5a,Actb-Mm00607939_s1,0.395,Actb
R6-5a,Actb-Mm00607939_s1,,Actb
R6-6a,Actb-Mm00607939_s1,0.7105,Actb
R6-6a,Actb-Mm00607939_s1,,Actb
WT-2a,Actb-Mm00607939_s1,0.447,Actb
WT-2a,Actb-Mm00607939_s1,,Actb
WT-3a,Actb-Mm00607939_s1,0.844,Actb
WT-3a,Actb-Mm00607939_s1,,Actb
WT-4a,Actb-Mm00607939_s1,0.546,Actb
WT-4a,Actb-Mm00607939_s1,,Actb
WT-5a,Actb-Mm00607939_s1,0.692,Actb
WT-5a,Actb-Mm00607939_s1,,Actb
R6-3a,Angptl3-Mm00803820_m1,13.1995,Angptl3
R6-3a,Angptl3-Mm00803820_m1,,Angptl3
R6-4a,Angptl3-Mm00803820_m1,17.9,Angptl3
R6-4a,Angptl3-Mm00803820_m1,,Angptl3
R6-6a,Angptl3-Mm00803820_m1,17.7375,Angptl3
R6-6a,Angptl3-Mm00803820_m1,,Angptl3
WT-2a,Angptl3-Mm00803820_m1,15.5365,Angptl3
WT-2a,Angptl3-Mm00803820_m1,,Angptl3
WT-3a,Angptl3-Mm00803820_m1,19.4885,Angptl3
WT-3a,Angptl3-Mm00803820_m1,,Angptl3
WT-4a,Angptl3-Mm00803820_m1,16.278,Angptl3
WT-4a,Angptl3-Mm00803820_m1,,Angptl3
R6-3a,Ankra2-Mm00499234_m1,6.1835,Ankra2
R6-3a,Ankra2-Mm00499234_m1,,Ankra2
R6-4a,Ankra2-Mm00499234_m1,5.1735,Ankra2
R6-4a,Ankra2-Mm00499234_m1,,Ankra2
R6-5a,Ankra2-Mm00499234_m1,5.915,Ankra2
R6-5a,Ankra2-Mm00499234_m1,,Ankra2
R6-6a,Ankra2-Mm00499234_m1,7.156,Ankra2
R6-6a,Ankra2-Mm00499234_m1,,Ankra2
WT-2a,Ankra2-Mm00499234_m1,6.9835,Ankra2
WT-2a,Ankra2-Mm00499234_m1,,Ankra2
WT-3a,Ankra2-Mm00499234_m1,7.8865,Ankra2
WT-3a,Ankra2-Mm00499234_m1,,Ankra2
WT-4a,Ankra2-Mm00499234_m1,7.084,Ankra2
WT-4a,Ankra2-Mm00499234_m1,,Ankra2
WT-5a,Ankra2-Mm00499234_m1,7.4585,Ankra2
WT-5a,Ankra2-Mm00499234_m1,,Ankra2
R6-4a,Apoa1-Mm00437569_m1,7.1635,Apoa1
R6-4a,Apoa1-Mm00437569_m1,,Apoa1
R6-6a,Apoa1-Mm00437569_m1,14.063,Apoa1
R6-6a,Apoa1-Mm00437569_m1,,Apoa1
WT-2a,Apoa1-Mm00437569_m1,17.043,Apoa1
WT-2a,Apoa1-Mm00437569_m1,,Apoa1
WT-4a,Apoa1-Mm00437569_m1,12.4595,Apoa1
WT-4a,Apoa1-Mm00437569_m1,,Apoa1
WT-5a,Apoa1-Mm00437569_m1,11.8925,Apoa1
WT-5a,Apoa1-Mm00437569_m1,,Apoa1
R6-3a,Apoa2-Mm00442687_m1,11.368,Apoa2
R6-3a,Apoa2-Mm00442687_m1,,Apoa2
R6-6a,Apoa2-Mm00442687_m1,12.716,Apoa2
R6-6a,Apoa2-Mm00442687_m1,,Apoa2
WT-2a,Apoa2-Mm00442687_m1,13.0445,Apoa2
WT-2a,Apoa2-Mm00442687_m1,,Apoa2
WT-3a,Apoa2-Mm00442687_m1,12.783,Apoa2
WT-3a,Apoa2-Mm00442687_m1,,Apoa2
WT-4a,Apoa2-Mm00442687_m1,12.71,Apoa2
WT-4a,Apoa2-Mm00442687_m1,,Apoa2
WT-5a,Apoa2-Mm00442687_m1,14.7045,Apoa2
WT-5a,Apoa2-Mm00442687_m1,,Apoa2
R6-3a,Apoc3-Mm00445670_m1,8.325,Apoc3
R6-3a,Apoc3-Mm00445670_m1,,Apoc3
R6-4a,Apoc3-Mm00445670_m1,11.2095,Apoc3
R6-4a,Apoc3-Mm00445670_m1,,Apoc3
R6-5a,Apoc3-Mm00445670_m1,10.4345,Apoc3
R6-5a,Apoc3-Mm00445670_m1,,Apoc3
R6-6a,Apoc3-Mm00445670_m1,9.932,Apoc3
R6-6a,Apoc3-Mm00445670_m1,,Apoc3
WT-2a,Apoc3-Mm00445670_m1,8.2135,Apoc3
WT-2a,Apoc3-Mm00445670_m1,,Apoc3
WT-3a,Apoc3-Mm00445670_m1,8.2545,Apoc3
WT-3a,Apoc3-Mm00445670_m1,,Apoc3
WT-4a,Apoc3-Mm00445670_m1,7.5615,Apoc3
WT-4a,Apoc3-Mm00445670_m1,,Apoc3
WT-5a,Apoc3-Mm00445670_m1,7.795,Apoc3
WT-5a,Apoc3-Mm00445670_m1,,Apoc3
R6-3a,Apod-Mm00431817_m1,0.3145,Apod
R6-3a,Apod-Mm00431817_m1,,Apod
R6-4a,Apod-Mm00431817_m1,-0.004,Apod
R6-4a,Apod-Mm00431817_m1,,Apod
R6-5a,Apod-Mm00431817_m1,2.07,Apod
R6-5a,Apod-Mm00431817_m1,,Apod
R6-6a,Apod-Mm00431817_m1,0.996,Apod
R6-6a,Apod-Mm00431817_m1,,Apod
WT-2a,Apod-Mm00431817_m1,2.184,Apod
WT-2a,Apod-Mm00431817_m1,,Apod
WT-3a,Apod-Mm00431817_m1,2.738,Apod
WT-3a,Apod-Mm00431817_m1,,Apod
WT-4a,Apod-Mm00431817_m1,1.979,Apod
WT-4a,Apod-Mm00431817_m1,,Apod
WT-5a,Apod-Mm00431817_m1,1.646,Apod
WT-5a,Apod-Mm00431817_m1,,Apod
R6-3a,Apoe-Mm00437573_m1,-1.4865,Apoe
R6-3a,Apoe-Mm00437573_m1,,Apoe
R6-4a,Apoe-Mm00437573_m1,-1.495,Apoe
R6-4a,Apoe-Mm00437573_m1,,Apoe
R6-5a,Apoe-Mm00437573_m1,-0.993,Apoe
R6-5a,Apoe-Mm00437573_m1,,Apoe
R6-6a,Apoe-Mm00437573_m1,0.042,Apoe
R6-6a,Apoe-Mm00437573_m1,,Apoe
WT-2a,Apoe-Mm00437573_m1,-1.051,Apoe
WT-2a,Apoe-Mm00437573_m1,,Apoe
WT-3a,Apoe-Mm00437573_m1,0.0725,Apoe
WT-3a,Apoe-Mm00437573_m1,,Apoe
WT-4a,Apoe-Mm00437573_m1,-1.309,Apoe
WT-4a,Apoe-Mm00437573_m1,,Apoe
WT-5a,Apoe-Mm00437573_m1,-0.583,Apoe
WT-5a,Apoe-Mm00437573_m1,,Apoe
R6-3a,Apol8-Mm01195284_m1,12.0885,Apol8
R6-3a,Apol8-Mm01195284_m1,,Apol8
R6-4a,Apol8-Mm01195284_m1,13.907,Apol8
R6-4a,Apol8-Mm01195284_m1,,Apol8
WT-2a,Apol8-Mm01195284_m1,18.15,Apol8
WT-2a,Apol8-Mm01195284_m1,,Apol8
WT-4a,Apol8-Mm01195284_m1,15.4085,Apol8
WT-4a,Apol8-Mm01195284_m1,,Apol8
R6-3a,B2m-Mm00437762_m1,1.749,B2m
R6-3a,B2m-Mm00437762_m1,,B2m
R6-4a,B2m-Mm00437762_m1,1.4905,B2m
R6-4a,B2m-Mm00437762_m1,,B2m
R6-5a,B2m-Mm00437762_m1,1.075,B2m
R6-5a,B2m-Mm00437762_m1,,B2m
R6-6a,B2m-Mm00437762_m1,1.955,B2m
R6-6a,B2m-Mm00437762_m1,,B2m
WT-2a,B2m-Mm00437762_m1,2.8625,B2m
WT-2a,B2m-Mm00437762_m1,,B2m
WT-3a,B2m-Mm00437762_m1,4.7515,B2m
WT-3a,B2m-Mm00437762_m1,,B2m
WT-4a,B2m-Mm00437762_m1,3.1865,B2m
WT-4a,B2m-Mm00437762_m1,,B2m
WT-5a,B2m-Mm00437762_m1,3.3545,B2m
WT-5a,B2m-Mm00437762_m1,,B2m
R6-3a,Cdh13-Mm00490584_m1,8.939,Cdh13
R6-3a,Cdh13-Mm00490584_m1,,Cdh13
R6-4a,Cdh13-Mm00490584_m1,13.7395,Cdh13
R6-4a,Cdh13-Mm00490584_m1,,Cdh13
R6-5a,Cdh13-Mm00490584_m1,22.1165,Cdh13
R6-5a,Cdh13-Mm00490584_m1,,Cdh13
R6-6a,Cdh13-Mm00490584_m1,8.7195,Cdh13
R6-6a,Cdh13-Mm00490584_m1,,Cdh13
WT-2a,Cdh13-Mm00490584_m1,9.3,Cdh13
WT-2a,Cdh13-Mm00490584_m1,,Cdh13
WT-3a,Cdh13-Mm00490584_m1,10.9445,Cdh13
WT-3a,Cdh13-Mm00490584_m1,,Cdh13
WT-4a,Cdh13-Mm00490584_m1,9.49,Cdh13
WT-4a,Cdh13-Mm00490584_m1,,Cdh13
WT-5a,Cdh13-Mm00490584_m1,10.8415,Cdh13
WT-5a,Cdh13-Mm00490584_m1,,Cdh13
R6-3a,Cnbp-Mm00488938_m1,5.3045,Cnbp
R6-3a,Cnbp-Mm00488938_m1,,Cnbp
R6-4a,Cnbp-Mm00488938_m1,6.6585,Cnbp
R6-4a,Cnbp-Mm00488938_m1,,Cnbp
R6-5a,Cnbp-Mm00488938_m1,7.1475,Cnbp
R6-5a,Cnbp-Mm00488938_m1,,Cnbp
R6-6a,Cnbp-Mm00488938_m1,6.929,Cnbp
R6-6a,Cnbp-Mm00488938_m1,,Cnbp
WT-2a,Cnbp-Mm00488938_m1,6.154,Cnbp
WT-2a,Cnbp-Mm00488938_m1,,Cnbp
WT-3a,Cnbp-Mm00488938_m1,6.963,Cnbp
WT-3a,Cnbp-Mm00488938_m1,,Cnbp
WT-4a,Cnbp-Mm00488938_m1,6.42,Cnbp
WT-4a,Cnbp-Mm00488938_m1,,Cnbp
WT-5a,Cnbp-Mm00488938_m1,6.831,Cnbp
WT-5a,Cnbp-Mm00488938_m1,,Cnbp
R6-3a,Colec12-Mm01236238_m1,7.257,Colec12
R6-3a,Colec12-Mm01236238_m1,,Colec12
R6-4a,Colec12-Mm01236238_m1,6.985,Colec12
R6-4a,Colec12-Mm01236238_m1,,Colec12
R6-5a,Colec12-Mm01236238_m1,5.451,Colec12
R6-5a,Colec12-Mm01236238_m1,,Colec12
R6-6a,Colec12-Mm01236238_m1,6.861,Colec12
R6-6a,Colec12-Mm01236238_m1,,Colec12
WT-2a,Colec12-Mm01236238_m1,8.252,Colec12
WT-2a,Colec12-Mm01236238_m1,,Colec12
WT-3a,Colec12-Mm01236238_m1,9.5165,Colec12
WT-3a,Colec12-Mm01236238_m1,,Colec12
WT-4a,Colec12-Mm01236238_m1,8.3265,Colec12
WT-4a,Colec12-Mm01236238_m1,,Colec12
WT-5a,Colec12-Mm01236238_m1,8.725,Colec12
WT-5a,Colec12-Mm01236238_m1,,Colec12
R6-3a,Cxcl16-Mm00469712_m1,12.3485,Cxcl16
R6-3a,Cxcl16-Mm00469712_m1,,Cxcl16
R6-4a,Cxcl16-Mm00469712_m1,19.422,Cxcl16
R6-4a,Cxcl16-Mm00469712_m1,,Cxcl16
R6-5a,Cxcl16-Mm00469712_m1,9.6135,Cxcl16
R6-5a,Cxcl16-Mm00469712_m1,,Cxcl16
R6-6a,Cxcl16-Mm00469712_m1,10.384,Cxcl16
R6-6a,Cxcl16-Mm00469712_m1,,Cxcl16
WT-2a,Cxcl16-Mm00469712_m1,12.101,Cxcl16
WT-2a,Cxcl16-Mm00469712_m1,,Cxcl16
WT-3a,Cxcl16-Mm00469712_m1,19.5505,Cxcl16
WT-3a,Cxcl16-Mm00469712_m1,,Cxcl16
WT-4a,Cxcl16-Mm00469712_m1,16.2285,Cxcl16
WT-4a,Cxcl16-Mm00469712_m1,,Cxcl16
WT-5a,Cxcl16-Mm00469712_m1,16.6275,Cxcl16
WT-5a,Cxcl16-Mm00469712_m1,,Cxcl16
R6-3a,Cyb5r3-Mm00504077_m1,5.982,Cyb5r3
R6-3a,Cyb5r3-Mm00504077_m1,,Cyb5r3
R6-4a,Cyb5r3-Mm00504077_m1,6.153,Cyb5r3
R6-4a,Cyb5r3-Mm00504077_m1,,Cyb5r3
R6-5a,Cyb5r3-Mm00504077_m1,5.4775,Cyb5r3
R6-5a,Cyb5r3-Mm00504077_m1,,Cyb5r3
R6-6a,Cyb5r3-Mm00504077_m1,6.6445,Cyb5r3
R6-6a,Cyb5r3-Mm00504077_m1,,Cyb5r3
WT-2a,Cyb5r3-Mm00504077_m1,6.7715,Cyb5r3
WT-2a,Cyb5r3-Mm00504077_m1,,Cyb5r3
WT-3a,Cyb5r3-Mm00504077_m1,8.7985,Cyb5r3
WT-3a,Cyb5r3-Mm00504077_m1,,Cyb5r3
WT-4a,Cyb5r3-Mm00504077_m1,7.2445,Cyb5r3
WT-4a,Cyb5r3-Mm00504077_m1,,Cyb5r3
WT-5a,Cyb5r3-Mm00504077_m1,7.7855,Cyb5r3
WT-5a,Cyb5r3-Mm00504077_m1,,Cyb5r3
R6-3a,Cyp39a1-Mm00517066_m1,8.5245,Cyp39a1
R6-3a,Cyp39a1-Mm00517066_m1,,Cyp39a1
R6-4a,Cyp39a1-Mm00517066_m1,6.974,Cyp39a1
R6-4a,Cyp39a1-Mm00517066_m1,,Cyp39a1
R6-5a,Cyp39a1-Mm00517066_m1,9.278,Cyp39a1
R6-5a,Cyp39a1-Mm00517066_m1,,Cyp39a1
R6-6a,Cyp39a1-Mm00517066_m1,9.006,Cyp39a1
R6-6a,Cyp39a1-Mm00517066_m1,,Cyp39a1
WT-2a,Cyp39a1-Mm00517066_m1,9.6765,Cyp39a1
WT-2a,Cyp39a1-Mm00517066_m1,,Cyp39a1
WT-3a,Cyp39a1-Mm00517066_m1,10.9005,Cyp39a1
WT-3a,Cyp39a1-Mm00517066_m1,,Cyp39a1
WT-4a,Cyp39a1-Mm00517066_m1,9.6195,Cyp39a1
WT-4a,Cyp39a1-Mm00517066_m1,,Cyp39a1
WT-5a,Cyp39a1-Mm00517066_m1,9.928,Cyp39a1
WT-5a,Cyp39a1-Mm00517066_m1,,Cyp39a1
R6-3a,Cyp46a1-Mm00487306_m1,6.0255,Cyp46a1
R6-3a,Cyp46a1-Mm00487306_m1,,Cyp46a1
R6-4a,Cyp46a1-Mm00487306_m1,7.222,Cyp46a1
R6-4a,Cyp46a1-Mm00487306_m1,,Cyp46a1
R6-5a,Cyp46a1-Mm00487306_m1,5.1975,Cyp46a1
R6-5a,Cyp46a1-Mm00487306_m1,,Cyp46a1
R6-6a,Cyp46a1-Mm00487306_m1,7.267,Cyp46a1
R6-6a,Cyp46a1-Mm00487306_m1,,Cyp46a1
WT-2a,Cyp46a1-Mm00487306_m1,6.32,Cyp46a1
WT-2a,Cyp46a1-Mm00487306_m1,,Cyp46a1
WT-3a,Cyp46a1-Mm00487306_m1,7.9455,Cyp46a1
WT-3a,Cyp46a1-Mm00487306_m1,,Cyp46a1
WT-4a,Cyp46a1-Mm00487306_m1,6.4595,Cyp46a1
WT-4a,Cyp46a1-Mm00487306_m1,,Cyp46a1
WT-5a,Cyp46a1-Mm00487306_m1,7.523,Cyp46a1
WT-5a,Cyp46a1-Mm00487306_m1,,Cyp46a1
R6-3a,Cyp51-Mm00490968_m1,4.6765,Cyp51
R6-3a,Cyp51-Mm00490968_m1,,Cyp51
R6-4a,Cyp51-Mm00490968_m1,3.943,Cyp51
R6-4a,Cyp51-Mm00490968_m1,,Cyp51
R6-5a,Cyp51-Mm00490968_m1,6.1185,Cyp51
R6-5a,Cyp51-Mm00490968_m1,,Cyp51
R6-6a,Cyp51-Mm00490968_m1,5.4745,Cyp51
R6-6a,Cyp51-Mm00490968_m1,,Cyp51
WT-2a,Cyp51-Mm00490968_m1,3.948,Cyp51
WT-2a,Cyp51-Mm00490968_m1,,Cyp51
WT-3a,Cyp51-Mm00490968_m1,4.927,Cyp51
WT-3a,Cyp51-Mm00490968_m1,,Cyp51
WT-4a,Cyp51-Mm00490968_m1,3.897,Cyp51
WT-4a,Cyp51-Mm00490968_m1,,Cyp51
WT-5a,Cyp51-Mm00490968_m1,4.1325,Cyp51
WT-5a,Cyp51-Mm00490968_m1,,Cyp51
R6-3a,Cyp7b1-Mm00484157_m1,4.595,Cyp7b1
R6-3a,Cyp7b1-Mm00484157_m1,,Cyp7b1
R6-4a,Cyp7b1-Mm00484157_m1,3.577,Cyp7b1
R6-4a,Cyp7b1-Mm00484157_m1,,Cyp7b1
R6-5a,Cyp7b1-Mm00484157_m1,4.5735,Cyp7b1
R6-5a,Cyp7b1-Mm00484157_m1,,Cyp7b1
R6-6a,Cyp7b1-Mm00484157_m1,5.3615,Cyp7b1
R6-6a,Cyp7b1-Mm00484157_m1,,Cyp7b1
WT-2a,Cyp7b1-Mm00484157_m1,4.6545,Cyp7b1
WT-2a,Cyp7b1-Mm00484157_m1,,Cyp7b1
WT-3a,Cyp7b1-Mm00484157_m1,5.4885,Cyp7b1
WT-3a,Cyp7b1-Mm00484157_m1,,Cyp7b1
WT-4a,Cyp7b1-Mm00484157_m1,4.72,Cyp7b1
WT-4a,Cyp7b1-Mm00484157_m1,,Cyp7b1
WT-5a,Cyp7b1-Mm00484157_m1,4.49,Cyp7b1
WT-5a,Cyp7b1-Mm00484157_m1,,Cyp7b1
R6-3a,Dhcr24-Mm00519071_m1,5.765,Dhcr24
R6-3a,Dhcr24-Mm00519071_m1,,Dhcr24
R6-4a,Dhcr24-Mm00519071_m1,7.54,Dhcr24
R6-4a,Dhcr24-Mm00519071_m1,,Dhcr24
R6-5a,Dhcr24-Mm00519071_m1,8.0795,Dhcr24
R6-5a,Dhcr24-Mm00519071_m1,,Dhcr24
R6-6a,Dhcr24-Mm00519071_m1,7.003,Dhcr24
R6-6a,Dhcr24-Mm00519071_m1,,Dhcr24
WT-2a,Dhcr24-Mm00519071_m1,5.238,Dhcr24
WT-2a,Dhcr24-Mm00519071_m1,,Dhcr24
WT-3a,Dhcr24-Mm00519071_m1,5.7115,Dhcr24
WT-3a,Dhcr24-Mm00519071_m1,,Dhcr24
WT-4a,Dhcr24-Mm00519071_m1,4.801,Dhcr24
WT-4a,Dhcr24-Mm00519071_m1,,Dhcr24
WT-5a,Dhcr24-Mm00519071_m1,5.599,Dhcr24
WT-5a,Dhcr24-Mm00519071_m1,,Dhcr24
R6-3a,Dhcr7-Mm00514571_m1,6.3315,Dhcr7
R6-3a,Dhcr7-Mm00514571_m1,,Dhcr7
R6-4a,Dhcr7-Mm00514571_m1,5.2405,Dhcr7
R6-4a,Dhcr7-Mm00514571_m1,,Dhcr7
R6-5a,Dhcr7-Mm00514571_m1,7.396,Dhcr7
R6-5a,Dhcr7-Mm00514571_m1,,Dhcr7
R6-6a,Dhcr7-Mm00514571_m1,7.452,Dhcr7
R6-6a,Dhcr7-Mm00514571_m1,,Dhcr7
WT-2a,Dhcr7-Mm00514571_m1,5.75,Dhcr7
WT-2a,Dhcr7-Mm00514571_m1,,Dhcr7
WT-3a,Dhcr7-Mm00514571_m1,6.136,Dhcr7
WT-3a,Dhcr7-Mm00514571_m1,,Dhcr7
WT-4a,Dhcr7-Mm00514571_m1,5.568,Dhcr7
WT-4a,Dhcr7-Mm00514571_m1,,Dhcr7
WT-5a,Dhcr7-Mm00514571_m1,5.677,Dhcr7
WT-5a,Dhcr7-Mm00514571_m1,,Dhcr7
R6-3a,Ebp-Mm00468191_m1,6.353,Ebp
R6-3a,Ebp-Mm00468191_m1,,Ebp
R6-4a,Ebp-Mm00468191_m1,5.3225,Ebp
R6-4a,Ebp-Mm00468191_m1,,Ebp
R6-5a,Ebp-Mm00468191_m1,8.1365,Ebp
R6-5a,Ebp-Mm00468191_m1,,Ebp
R6-6a,Ebp-Mm00468191_m1,7.2765,Ebp
R6-6a,Ebp-Mm00468191_m1,,Ebp
WT-2a,Ebp-Mm00468191_m1,7.0995,Ebp
WT-2a,Ebp-Mm00468191_m1,,Ebp
WT-3a,Ebp-Mm00468191_m1,7.109,Ebp
WT-3a,Ebp-Mm00468191_m1,,Ebp
WT-4a,Ebp-Mm00468191_m1,7.213,Ebp
WT-4a,Ebp-Mm00468191_m1,,Ebp
WT-5a,Ebp-Mm00468191_m1,7.0265,Ebp
WT-5a,Ebp-Mm00468191_m1,,Ebp
R6-3a,Fdft1-Mm00815354_s1,20.0475,Fdft1
R6-3a,Fdft1-Mm00815354_s1,,Fdft1
R6-4a,Fdft1-Mm00815354_s1,14.975,Fdft1
R6-4a,Fdft1-Mm00815354_s1,,Fdft1
R6-6a,Fdft1-Mm00815354_s1,18.684,Fdft1
R6-6a,Fdft1-Mm00815354_s1,,Fdft1
WT-2a,Fdft1-Mm00815354_s1,18.3575,Fdft1
WT-2a,Fdft1-Mm00815354_s1,,Fdft1
WT-3a,Fdft1-Mm00815354_s1,19.318,Fdft1
WT-3a,Fdft1-Mm00815354_s1,,Fdft1
WT-4a,Fdft1-Mm00815354_s1,20.992,Fdft1
WT-4a,Fdft1-Mm00815354_s1,,Fdft1
WT-5a,Fdft1-Mm00815354_s1,17.4965,Fdft1
WT-5a,Fdft1-Mm00815354_s1,,Fdft1
R6-3a,Fdps-Mm00836315_g1,11.1225,Fdps
R6-3a,Fdps-Mm00836315_g1,,Fdps
R6-4a,Fdps-Mm00836315_g1,10.0495,Fdps
R6-4a,Fdps-Mm00836315_g1,,Fdps
R6-5a,Fdps-Mm00836315_g1,14.1825,Fdps
R6-5a,Fdps-Mm00836315_g1,,Fdps
R6-6a,Fdps-Mm00836315_g1,11.152,Fdps
R6-6a,Fdps-Mm00836315_g1,,Fdps
WT-2a,Fdps-Mm00836315_g1,9.921,Fdps
WT-2a,Fdps-Mm00836315_g1,,Fdps
WT-3a,Fdps-Mm00836315_g1,10.948,Fdps
WT-3a,Fdps-Mm00836315_g1,,Fdps
WT-4a,Fdps-Mm00836315_g1,10.6855,Fdps
WT-4a,Fdps-Mm00836315_g1,,Fdps
WT-5a,Fdps-Mm00836315_g1,10.518,Fdps
WT-5a,Fdps-Mm00836315_g1,,Fdps
R6-3a,Gapdh-Mm99999915_g1,0.771,Gapdh
R6-3a,Gapdh-Mm99999915_g1,,Gapdh
R6-4a,Gapdh-Mm99999915_g1,1.169,Gapdh
R6-4a,Gapdh-Mm99999915_g1,,Gapdh
R6-5a,Gapdh-Mm99999915_g1,0.227,Gapdh
R6-5a,Gapdh-Mm99999915_g1,,Gapdh
R6-6a,Gapdh-Mm99999915_g1,1.58,Gapdh
R6-6a,Gapdh-Mm99999915_g1,,Gapdh
WT-2a,Gapdh-Mm99999915_g1,1.1805,Gapdh
WT-2a,Gapdh-Mm99999915_g1,,Gapdh
WT-3a,Gapdh-Mm99999915_g1,1.691,Gapdh
WT-3a,Gapdh-Mm99999915_g1,,Gapdh
WT-4a,Gapdh-Mm99999915_g1,1.3045,Gapdh
WT-4a,Gapdh-Mm99999915_g1,,Gapdh
WT-5a,Gapdh-Mm99999915_g1,1.677,Gapdh
WT-5a,Gapdh-Mm99999915_g1,,Gapdh
R6-3a,Gusb-Mm00446953_m1,7.2065,Gusb
R6-3a,Gusb-Mm00446953_m1,,Gusb
R6-4a,Gusb-Mm00446953_m1,7.832,Gusb
R6-4a,Gusb-Mm00446953_m1,,Gusb
R6-5a,Gusb-Mm00446953_m1,10.252,Gusb
R6-5a,Gusb-Mm00446953_m1,,Gusb
R6-6a,Gusb-Mm00446953_m1,8.024,Gusb
R6-6a,Gusb-Mm00446953_m1,,Gusb
WT-2a,Gusb-Mm00446953_m1,8.5925,Gusb
WT-2a,Gusb-Mm00446953_m1,,Gusb
WT-3a,Gusb-Mm00446953_m1,9.0185,Gusb
WT-3a,Gusb-Mm00446953_m1,,Gusb
WT-4a,Gusb-Mm00446953_m1,8.284,Gusb
WT-4a,Gusb-Mm00446953_m1,,Gusb
WT-5a,Gusb-Mm00446953_m1,8.7835,Gusb
WT-5a,Gusb-Mm00446953_m1,,Gusb
R6-3a,Hdlbp-Mm00505507_m1,4.729,Hdlbp
